,Player ID,Batting Score,Bowling Score,Final Keeper Score,Final Fielding Score,Allround Score,Batsmen Score,Bowler Score,Allrounder Score,Keeper Score
0,26169,44.56311497326204,67.51349681767128,0.0,0.0,56.038305895466664,40.106803475935834,64.13782197678772,44.830644716373335,13.368934491978612
1,26184,41.0118449197861,84.62958721525217,3.6800000000000006,52.959999999999994,62.820716067519136,42.20666042780749,83.04610785448956,60.84857285401531,14.87955347593583
2,26225,46.43777406417112,58.876653393229134,3.6400000000000006,32.48,52.65721372870013,45.04199665775401,57.556820723567675,48.62177098296011,16.479332219251337
3,26226,50.82980614973262,0.0,4.44,20.68,25.41490307486631,47.81482553475936,1.034,24.46792245989305,18.356941844919785
4,26238,36.948141711229944,0.0,4.44,28.38,18.474070855614972,36.09132754010695,1.419,20.455256684491978,14.192442513368983
5,26257,31.011838235294118,54.84197867648731,1.3333333333333335,7.4,42.92690845589071,28.650654411764705,52.46987974266294,35.821526764712566,10.23688480392157
6,26290,32.81058823529412,61.31235227282894,2.08,12.86,47.06147025406153,30.81552941176471,58.88973465918749,40.22117620324923,11.299176470588234
7,26293,29.775,35.56457183852439,0.0,0.0,32.669785919262196,26.7975,33.786343246598165,26.13582873540976,8.9325
8,26295,24.81605614973262,0.0,4.093333333333333,21.22,12.40802807486631,24.45645053475936,1.061,14.170422459893048,10.310150178253119
9,26325,33.25154411764706,0.0,3.88,22.36,16.62577205882353,32.162389705882354,1.118,17.772617647058823,12.691463235294115
10,26329,81.14470588235294,0.0,6.253333333333334,98.14,40.57235294117647,82.84423529411765,4.907,52.08588235294118,28.720745098039213
11,26421,42.1334090909091,73.79090823963014,3.586666666666667,37.84,57.96215866526962,41.70406818181819,71.99336282764862,53.937726932215696,15.150689393939397
12,26802,49.799224598930486,0.0,4.333333333333334,28.6,24.899612299465243,47.67930213903744,1.4300000000000002,25.6396898395722,17.973100713012478
13,26806,26.283088235294116,0.0,3.7999999999999994,18.499999999999996,13.141544117647058,25.5047794117647,0.9249999999999998,14.213235294117647,10.544926470588234
14,26815,32.83676470588235,33.05233187260488,5.0,24.6,32.94454828924361,32.01308823529412,32.629715278974636,31.275638631394894,13.351029411764705
15,26829,35.66117647058824,58.69502461972293,4.88,29.66,47.17810054515559,35.061058823529414,57.243273388736775,43.674480436124476,14.114352941176472
16,26853,45.435,57.09488448844884,6.666666666666666,32.1,51.26494224422442,44.1015,55.84514026402639,47.43195379537954,18.297166666666666
17,26872,44.59215909090909,0.0,4.44,22.78,22.296079545454546,42.41094318181818,1.139,22.39286363636364,16.485647727272728
18,26875,19.580735294117645,51.13351036802186,5.333333333333334,26.8,35.35712283106975,20.30266176470588,49.91683484962077,33.6456982648558,9.607553921568627
19,26896,0.0,68.33333333333333,0.0,0.0,34.166666666666664,0.0,64.91666666666666,27.333333333333332,0.0
20,26942,20.05323529411765,73.27692307692308,0.0,0.0,46.66507918552037,18.047911764705884,69.61307692307693,37.3320633484163,6.0159705882352945
21,26948,32.96076203208557,73.80543015332198,2.2800000000000002,18.659999999999997,53.383096092703774,31.53068582887701,71.04815864565589,46.43847687416302,11.48422860962567
22,26966,33.646911764705884,56.05734265734266,0.0,0.0,44.85212721102427,30.282220588235297,53.254475524475524,35.88170176881942,10.094073529411764
23,27223,48.634659090909096,73.69832402234637,3.333333333333333,17.1,61.16649155662773,45.48119318181819,70.86840782122906,52.353193245302194,16.923731060606062
24,27225,35.770909090909086,48.98661737527486,3.546666666666667,18.76,42.37876323309197,34.06981818181818,47.47528650651112,37.65501058647358,13.213939393939393
25,27591,0.0,75.2,0.0,0.0,37.6,0.0,71.44,30.080000000000002,0.0
26,27592,27.338923796791445,0.0,0.0,0.0,13.669461898395722,24.6050314171123,0.0,10.935569518716578,8.201677139037432
27,27603,10.823823529411763,58.6443168771527,4.44,20.68,34.73407020328223,11.809441176470587,56.746101033295055,31.923256162625783,6.355147058823529
28,27619,31.978749999999998,0.0,5.706666666666667,27.779999999999994,15.989374999999999,31.558874999999997,1.3889999999999998,18.347499999999997,13.588291666666667
29,27622,33.9172794117647,58.67628943160928,3.92,24.639999999999997,46.29678442168699,32.98955147058823,56.97447496002881,41.96542753734959,12.91918382352941
30,27641,32.520467914438505,73.78817821966122,5.613333333333333,36.46,53.15432306704986,32.91442112299465,71.92176930867815,49.81545845363989,13.685473707664883
31,27978,39.561570855614974,0.0,28.79,30.0,19.780785427807487,38.60541377005348,1.5,21.82462834224599,32.02147125668449
32,28010,26.095441176470587,0.0,0.0,0.0,13.047720588235293,23.48589705882353,0.0,10.438176470588235,7.828632352941176
33,28067,35.019999999999996,0.0,0.0,0.0,17.509999999999998,31.517999999999997,0.0,14.008,10.505999999999998
34,28081,89.5,0.0,97.06666666666666,30.0,44.75,83.55,1.5,41.800000000000004,94.79666666666665
35,28090,36.733482620320856,0.0,25.856666666666666,30.0,18.366741310160428,36.06013435828877,1.5,20.693393048128343,29.11971145276292
36,28107,17.779852941176472,75.91111111111111,2.666666666666667,14.1,46.84548202614379,17.411867647058827,72.82055555555556,40.29638562091503,7.200622549019608
37,28114,85.59110294117647,0.0,47.406666666666666,100.0,42.79555147058824,87.03199264705883,5.0,54.23644117647059,58.861997549019605
38,28146,32.70191176470588,0.0,9.85,30.0,16.35095588235294,32.431720588235294,1.5,19.080764705882352,16.705573529411765
39,28149,0.0,62.89511278195488,0.0,0.0,31.44755639097744,0.0,59.75035714285713,25.158045112781952,0.0
40,28235,84.02795454545455,0.0,6.746666666666667,88.1,42.013977272727274,84.4351590909091,4.405,51.231181818181824,29.931053030303033
